created_at,city,retweet_count,favorite_count,followers_count,friends_count,listed_count,favorites_count,statuses_count,text,negative,neutral,positive,compound
2020-10-09 21:58:48-06:00,cheyenne,0,0,46,758,0,250,830, Build? You “built” you’re way to championships. By built I obviously mean BOUGHT. That shit isn’t working now is it 😂.,0.164,0.627,0.209,0.3612
2020-10-09 21:57:52-06:00,cheyenne,1,1,179,99,1,5140,1402,i swear to God when  shoot everybody say PLEASE,0.262,0.364,0.374,0.368
2020-10-09 21:56:36-06:00,cheyenne,1,0,139,123,0,11,779,Big losers. ,0.773,0.227,0.0,-0.5267
2020-10-09 21:56:16-06:00,cheyenne,0,1,135,134,0,4196,819, Nah bro I’m crying I can’t stand you😭,0.487,0.513,0.0,-0.765
2020-10-09 21:56:06-06:00,cheyenne,0,0,59,88,1,6266,711,Use code COLDONES to assist your bank account   ,0.0,1.0,0.0,0.0
2020-10-09 21:55:56-06:00,cheyenne,0,0,139,123,0,11,779,This wind can sweep me away for all i care.... Lakers should’ve won,0.0,0.615,0.385,0.7845
2020-10-09 21:55:06-06:00,cheyenne,0,0,45,52,1,216,959, She straight up punched my man Hit in the dick.,0.25,0.606,0.144,-0.34
2020-10-09 21:54:39-06:00,cheyenne,0,0,139,123,0,11,779,Morris must seen the ghost of Kobe cause he just threw the bitch,0.357,0.643,0.0,-0.7269
2020-10-09 21:54:04-06:00,cheyenne,0,0,139,123,0,11,779, Dead bih gtf,0.683,0.317,0.0,-0.6486
2020-10-09 21:54:01-06:00,cheyenne,0,1,57,249,3,5404,6105, Two tortured fan bases just can’t seem to catch a break.,0.242,0.604,0.154,-0.3182
2020-10-09 21:53:28-06:00,cheyenne,0,1,179,99,1,5140,1402,can the lakers sign  for this next game get ride of danny green ass,0.212,0.788,0.0,-0.5423
2020-10-09 21:53:21-06:00,cheyenne,1,0,139,123,0,11,779,You sound slow ,0.0,1.0,0.0,0.0
2020-10-09 21:52:04-06:00,cheyenne,0,0,139,123,0,11,779,Lakers in how many it takes ! ✌🏽,0.0,0.759,0.241,0.5411
2020-10-09 21:52:00-06:00,cheyenne,1,1,179,99,1,5140,1402,after the lakers win they ring ion wanna see danny green even smile tf he happy for,0.0,0.583,0.417,0.875
2020-10-09 21:51:06-06:00,cheyenne,0,0,179,99,1,5140,1402, you jus be takin up a spot on the floor bruh yo goofy ass be wide tf open my nigha thats all you do at practice is shoot 3s wtf,0.264,0.736,0.0,-0.8658
2020-10-09 22:50:06-06:00,cheyenne,0,0,33,61,0,497,274,Folk music from the 60's-70's is highly underrated.,0.0,1.0,0.0,0.0
2020-10-09 22:49:13-06:00,cheyenne,0,2,177,98,0,14780,2639,  The same 2/3s that think Kamala won the debate?,0.0,0.684,0.316,0.5719
2020-10-09 22:47:23-06:00,cheyenne,0,0,176,559,2,8666,2274,I am not seeing my notifications on Twitter. I don't know why. Please help.,0.118,0.72,0.162,0.1872
2020-10-09 22:46:57-06:00,cheyenne,0,0,209,147,1,3369,4957,"Wait, you're telling me MJ would have shot that with four defenders on him when two of the three championships that… ",0.0,0.809,0.191,0.5423
2020-10-09 22:46:26-06:00,cheyenne,0,1,553,101,5,7623,13834,Danny Green’s agent right now..... ,0.0,1.0,0.0,0.0
2020-10-09 22:45:25-06:00,cheyenne,0,0,140,483,1,20407,4981,It's for the better so I guess best friends don't last forever 🤪🤪✌🏻,0.0,0.554,0.446,0.9282
2020-10-09 22:36:47-06:00,cheyenne,0,0,57,249,3,5404,6106, Kobe would never let a bruised heel slow him down in a close out game in the finals.,0.0,1.0,0.0,0.0
2020-10-09 22:34:44-06:00,cheyenne,0,0,57,249,3,5404,6106," They want to make sure another racist, sexist, maniac doesn’t get elected again?.... ",0.36,0.457,0.183,-0.6705
2020-10-09 22:33:18-06:00,cheyenne,0,0,0,517,5,105,9746,I thought the Seth Rollins Mysterio family feud was done. It just carries over to Friday night SmackDown. In probab… ,0.112,0.888,0.0,-0.34
2020-10-09 22:31:01-06:00,cheyenne,0,0,3705,279,208,37,37156,"Recent arrests in Laramie County, October 5-8 ",0.326,0.674,0.0,-0.4404
2020-10-09 22:24:35-06:00,cheyenne,0,1,257,239,0,3097,592,I am so excited to see my bestfriend ,0.0,0.692,0.308,0.4795
